State,Family_Premium_2025_Est,Note
Massachusetts,30966,Estimated using 10% growth from 2024
New York,30028,Estimated using 10% growth from 2024
New Jersey,29228,Estimated using 10% growth from 2024
Alaska,28475,Estimated using 10% growth from 2024
Connecticut,28119,Estimated using 10% growth from 2024
Wyoming,28037,Estimated using 10% growth from 2024
Washington,27990,Estimated using 10% growth from 2024
Maryland,27536,Estimated using 10% growth from 2024
Rhode Island,27483,Estimated using 10% growth from 2024
California,27243,Estimated using 10% growth from 2024
US Average,26993,Actual KFF 2025
Vermont,26827,Estimated using 10% growth from 2024
Pennsylvania,26715,Estimated using 10% growth from 2024
Texas,25801,Estimated using 10% growth from 2024
Florida,25557,Estimated using 10% growth from 2024
Georgia,25285,Estimated using 10% growth from 2024
Arizona,24919,Estimated using 10% growth from 2024
Utah,23967,Estimated using 10% growth from 2024
Hawaii,21523,Estimated using 10% growth from 2024
